s_id,Startup_Name,Location,Industry
64f57749e4b0c7662b3b097f,ABPV VENTURES PRIVATE LIMITED,"Mumbai,Maharashtra",Healthcare & Lifesciences
64f57726e4b0c7662b3b0972,KASDOL DIGITAL FARMER PRODUCER COMPANY LIMITED,"Raipur,Chhattisgarh",Agriculture
64f576f9e4b0c7662b3b0956,RRH OVERSEAS PRIVATE LIMITED,"Cooch Behar,West Bengal",Professional & Commercial Services
64f6f5cce4b00a42db190e0e,LOGIBOT CLOUDSOL LLP,"Kachchh,Gujarat",IT Services
64f6f54de4b00a42db190de4,SYSTEMISER TECHNOLOGY'S PRIVATE LIMITED,",Jharkhand",
64f6f46de4b00a42db190d91,INCEPTIAN DESIGNERS PRIVATE LIMITED,"Patna,Bihar",Architecture Interior Design
64f6f460e4b00a42db190d89,Suman Rajwadi Dresses,"Thane,Maharashtra",Textiles & Apparel
64f6f454e4b00a42db190d86,Advait Arts And Entertainment,"Surat,Gujarat",Marketing
64f6f440e4b00a42db190d7b,WELTSPITZE ENGINEERING PRIVATE LIMITED,"Mumbai,Maharashtra",Construction
64f6f3e8e4b00a42db190d60,Victory Adventure Trakking &amp; Holidays,"Ahmedabad,Gujarat",Travel & Tourism
64f6f378e4b00a42db190d37,"Plant communication system, Disaster management system, fire detection and alarm system ( FDA)  and","Pune,Maharashtra",Professional & Commercial Services
64f6f366e4b00a42db190d2f,ARVAASSOCIATE PROJECTS Private Limited,"Jhansi,Uttar Pradesh",Technology Hardware
64f5b8b6e4b0c7662b3b23a9,Imbis Agro Private Limited,"Raipur,Chhattisgarh",Agriculture
64f5b868e4b0c7662b3b2391,VIBA INDUSTRIES PRIVATE LIMITED,"Jalgaon,Maharashtra",Safety
64f5b7cce4b0c7662b3b2359,Donna Analytics,"Bikaner,Rajasthan",Analytics
64f5b7bfe4b0c7662b3b234c,innomatics india private limited,"Zirakpur,Punjab",Technology Hardware
64f5b7b8e4b0c7662b3b2349,TRIVED UNITED PRIVATE LIMITED,"Bankura,West Bengal",Education
64f5b6e7e4b0c7662b3b22e1,YESCO MOTORS PVT. LTD.,"Varanasi,Uttar Pradesh",Automotive
64f5b68fe4b0c7662b3b22b9,JAMBAZAR FARMER PRODUCER COMPANY LIMITED,"Yavatmal,Maharashtra",Agriculture
64f5b3c0e4b0c7662b3b21b7,Fingerprints Learning Collective Private Limited,"Udhagamandalam,Tamil Nadu",Education
64f5b369e4b0c7662b3b217c,NIRRAM AGRO LLP,"Erode,Tamil Nadu",Agriculture
64f8211fe4b00b8c0d98e17e,KLART INNOVATIONS,"Bhubaneswar,Odisha",IT Services
64f8202ce4b00b8c0d98e126,DEVOTED DIGITAL HEALTH CLINIC PRIVATE LIMITED,"Bengaluru,Karnataka",Healthcare & Lifesciences
5b279556e4b04f0864e41b92,Biswadeep Mukherjee,"New Delhi,Delhi",
64f81d85e4b00b8c0d98e010,Maimsd Technology,"Bengaluru,Karnataka",IT Services
64f81d39e4b00b8c0d98dfed,KRENSI AGRO INDIA PRIVATE LIMITED,"Surat,Gujarat",Agriculture
64f81cd6e4b00b8c0d98dfb2,ANY TECH VENTURES PRIVATE LIMITED,"Ghaziabad,Uttar Pradesh",AR VR (Augmented + Virtual Reality)
64f81a4ee4b00b8c0d98dec7,URBAN GARNISH LLP,"Wayanad,Kerala",Food & Beverages
64f81964e4b00b8c0d98de66,POWERTEK SOLAR INDUSTRIES,"Bengaluru,Karnataka",Renewable Energy
64f818d9e4b00b8c0d98de2f,HOMENEARTH OVERSEAS PRIVATE LIMITED,"East Delhi,Delhi",Other Specialty Retailers
64f763ade4b00b8c0d98cb81,ZENERATIVE MINDS LLP,"Hyderabad,Telangana",AI
64f75b0ee4b00b8c0d98ca0d,Nextwork Technologies Private Limited,"Panchkula,Haryana",Professional & Commercial Services
64f75acfe4b00b8c0d98c9f1,Incramania Private Limited,"Mattannur,Kerala",Social Network
64f758f2e4b00b8c0d98c9a0,MAVEN AGRO,"Pune,Maharashtra",Agriculture
64f754c3e4b00b8c0d98c8cd,Heeraa Ananthan,"Chennai,Tamil Nadu",
64f75490e4b00b8c0d98c8c8,Terra,"Mumbai,Maharashtra",Social Impact
64f75490e4b00b8c0d98c8c5,MEDICO SATTVA HEALTHCARE,"Palwal,Haryana",Healthcare & Lifesciences
64f75137e4b00b8c0d98c805,Cognexis Innovations Private Limited,"Vadodara,Gujarat",IT Services
64f7505de4b00b8c0d98c7e0,Secure Watch,"Guwahati,Assam",Security Solutions
5c723606e4b0ba900e121f39,Sachin Gupta,"Bilaspur,Chhattisgarh",
64f2c43fe4b0c7662b3a4c76,ARTAKASHA DECOR PVT LTD,"Jaipur,Rajasthan",Design
64f2c277e4b0c7662b3a4c14,JMD GLOBAL SHIPPING PRIVATE LIMITED,"Kanpur Nagar,Uttar Pradesh",Transportation & Storage
64f2c0fce4b0c7662b3a4ba2,RUDRA FIRM,"Warangal Urban,Telangana",Analytics
64f2c048e4b0c7662b3a4b72,TECH INDIANACART MARKETPLACE PRIVATE LIMITED,"Mumbai,Maharashtra",IT Services
64f2bc32e4b0c7662b3a4a59,Initial Infinity Private Limited,"Navi Mumbai,Maharashtra",IT Services
64f2ba5de4b0c7662b3a49ee,Openmedy,"Thiruvananthapuram,Kerala",Social Network
64f2b94fe4b0c7662b3a49b5,SATZY SOFTWARE PRIVATE LIMITED,"North West Delhi,Delhi",Construction
64f2b43de4b0c7662b3a48e0,online service provide match making matrimonial site,"Patna,Bihar",Dating Matrimonial
64f7029de4b00a42db1912fc,sdfgvdf,"Baksa,Assam",Analytics
64f70134e4b00a42db19126d,Karsent ventures Pvt Ltd,"Chennai,Tamil Nadu",Professional & Commercial Services
64f70029e4b00a42db1911f0,Mketech private limited,"Aurangabad,Maharashtra",IT Services
64f6ffd6e4b00a42db1911e2,PHLAGON INDUSTRIES PRIVATE LIMITED,"Baghpat,Uttar Pradesh",Textiles & Apparel
64f6ff8de4b00a42db1911c9,ARYABHUMI CLEANFUEL PRIVATE LIMITED,"Junagadh,Gujarat",Renewable Energy
64f6fd9fe4b00a42db19113c,QQuotient,"Mumbai,Maharashtra",IT Services
