Startup_Name,Location,Industry
Weep Scope,"Ahmedabad,Gujarat",AI
Fit-o-Holic Healthy Corner LLP,"Ahmedabad,Gujarat",Food & Beverages
apni rasoi,"New Delhi,Delhi",Food & Beverages
DIGITAL KONG PRIVATE LIMITED,"Faridabad,Haryana",Marketing
AGNM ROADLINK LLP,"Kanchipuram,Tamil Nadu",Logistics
Truckbulls Transport Pvt Ltd,"Delhi,Delhi",Logistics
ECORUSH PRIVATE LIMITED,"Varanasi,Uttar Pradesh",Green Technology
VELVETMINT MEDIA PRIVATE LIMITED,",Karnataka",
YellowMint Colors,"South Eastdelhi,Delhi",Professional & Commercial Services
MYINTRIPS PRIVATE LIMITED,"Patna,Bihar",Travel & Tourism
FreeAd,"Kolkata,West Bengal",Advertising
Bavyatha S,"Chennai,Tamil Nadu",
STAY app,"Bhilwara,Rajasthan",Real Estate
Bugbusterslabs Private Limited,"Chennai,Tamil Nadu",IT Services
RRMEL INDIA PVT LTD,"Chennai,Tamil Nadu",Automotive
Pod Learning,"Bengaluru,Karnataka",Education
EV Planet LLP,"Pune,Maharashtra",Automotive
Mature men,"Mira-Bhayandar,Maharashtra",Other Specialty Retailers
EVENTASIA (OPC) PRIVATE LIMITED,"Srinagar,Jammu and Kashmir",Events
FUSIONAIX TECHNOLOGIES PRIVATE LIMITED,",Telangana",
BRIDCODES GLOBAL PRIVATE LIMITED,",Kerala",
RKNLM CONSULTANCY SERVICES PRIVATE LIMITED,"North East Delhi,Delhi",Professional & Commercial Services
AYRA TECHNOLOGIES PRIVATE LIMITED,",Karnataka",
BGS INDUSTRIAL SOLUTION PRIVATE LIMITED,"Gautam Buddha Nagar,Uttar Pradesh",Analytics
GESTUREMINDS SOFTWARE PRIVATE LIMITED,",Madhya Pradesh",
Dynamics Monk Private Limited,"West Delhi,Delhi",IT Services
SkillSync Edutech,"Vijayawada,Andhra Pradesh",Education
Nourish Kart Private Limited,"Bengaluru Urban,Karnataka",Food & Beverages
SAMRUVA TECHNOLOGIES PRIVATE LIMITED,"Coimbatore,Tamil Nadu",IT Services
Acroama Water Treatment System,"Chennai,Tamil Nadu",Waste Management
HOGO MOBILITY PRIVATE LIMITED,"Bengaluru Urban,Karnataka",Automotive
IMPULSE INTEGRATED SYSTEMS PRIVATE LIMITED,"Kolhapur,Maharashtra",Technology Hardware
Aainesh textile market,"Nashik,Maharashtra",Textiles & Apparel
HealthyYouEveryDay,"Hyderabad,Telangana",Food & Beverages
POWER GUARD AUTOMATION PRIVATE LIMITED,"Ernakulam,Kerala",Technology Hardware
SHRIVAS,"Lucknow,Uttar Pradesh",Travel & Tourism
PAYHES FINTECH PVT LTD,"Vatakara,Kerala",Finance Technology
MATRIXSTEEL WORKS PRIVATE LIMITED,",Jharkhand",
DHAULADHAR HERBS PRIVATE LIMITED,"Kangra,Himachal Pradesh",Agriculture
REDSEL TECHNOLOGIES PRIVATE LIMITED,"Bhopal,Madhya Pradesh",IT Services
MATCH MIND TECHNOLOGIES PRIVATE LIMITED,",Haryana",
WESTECHPOWER MANAGEMENT PRIVATE LIMITED,",Maharashtra",
CONNOISSEURS DESK PRIVATE LIMITED,"Pune,Maharashtra",Architecture Interior Design
ALIFEROUS PMCS LLP,",Uttar Pradesh",
AGS MARKETING LLP,"Tiruvallur,Tamil Nadu",Professional & Commercial Services
Yushi Nova,"Gurugram,Haryana",Automotive
OJCT DIGICOM PRIVATE LIMITED,"Ahmedabad,Gujarat",Finance Technology
PERCUSSA CONCEPTS PRIVATE LIMITED,",Maharashtra",
OCTRIX BUSINESS SOLUTIONS LLP,"Aurangabad,Maharashtra",Human Resources
MOONCOIN CHITS PRIVATE LIMITED,"Latur,Maharashtra",Finance Technology
ENTREFACE INNOVATIONS PRIVATE LIMITED,"Bhopal,Madhya Pradesh",Professional & Commercial Services
SevenX Ventures OPC Pvt Ltd,"Mumbai Suburban,Maharashtra",Healthcare & Lifesciences
SHRIMANTHAN AGROPRODUCTS PRIVATE LIMITED,"Pune,Maharashtra",Agriculture
SHREETRACK ENGINEERING PRIVATE LIMITED,"Varanasi,Uttar Pradesh",Construction
GLORIFY LIFESTYLE PRIVATE LIMITED,"Bhavnagar,Gujarat",Healthcare & Lifesciences
Mity A.I,"Bengaluru Urban,Karnataka",Media & Entertainment
SHF SQUARE LLP,"Gurugram,Haryana",Construction
SHIPZERS ELECTRONICS INDIA PRIVATE LIMITED,"Gurugram,Haryana",Retail
SMC AQUA SOLUTIONS PRIVATE LIMITED,"Jalandhar,Punjab",Construction
arbaz,"Lucknow,Uttar Pradesh",
BHARGO AGROTECH (OPC) PRIVATE LIMITED,"Ballia,Uttar Pradesh",Agriculture
Candyflow Private Limited,"Ghaziabad,Uttar Pradesh",Food & Beverages
A-1 SUREJA INDUSTRIES,"Ahmedabad,Gujarat",Automotive
U26209KA2023PTC175514,"Bengaluru,Karnataka",Enterprise Software
A CUBE INTERNATIONAL,"Birbhum,West Bengal",Construction
KISSANPRO AGRO TECHNOLOGY PRIVATE LIMITED,",Jharkhand",
CURATE HEALTH TECHNOLOGIES PRIVATE LIMITED,",Kerala",
ATHARVA NETWORKS PRIVATE LIMITED,"Lucknow,Uttar Pradesh",Human Resources
PERCIEVE GREEN ENERGY PRIVATE LIMITED,"Fatehpur,Uttar Pradesh",Renewable Energy
G7mentors.com,"Gurugram,Haryana",Education
TGB TECHNOLOGIES PRIVATE LIMITED,",Karnataka",
GENEX TECH INDUSTRIES LLP,"Kolkata,West Bengal",Food & Beverages
Onehub Solutions,"Kolkata,West Bengal",Human Resources
LUXUSKART ONLINE SERVICES PRIVATE LIMITED,"Shivamogga,Karnataka",Retail
DHARMANATH PRODUCTS PRIVATE LIMITED,",Gujarat",
Sigmaswagg.com,"Gurugram,Haryana",Textiles & Apparel
GoodPro Corporation Private Limited,"Gurugram,Haryana",Healthcare & Lifesciences
MYDEN FACILITY MANAGMENT,"Kozhikode,Kerala",Professional & Commercial Services
VEGMA FARM FRESH PRIVATE LIMITED,"Kurukshetra,Haryana",Food & Beverages
MAA NARMADA LABOUR AGENCY,"Jabalpur,Madhya Pradesh",Human Resources
SG AGRO PRODUCTS AND TECHNOLOGIES,"Bengaluru Urban,Karnataka",Agriculture
Ambey Enterprises,"Adityapur,Jharkhand",Chemicals
WAJHIYYAH FOODS LLP,"Chennai,Tamil Nadu",Food & Beverages
STERIS SURGICAL SOLUTIONS,"Ahmedabad,Gujarat",Healthcare & Lifesciences
MOMENTUX SYSTEMS PRIVATE LIMITED,",Karnataka",
om prakash singh,"Deoria,Uttar Pradesh",Construction
CHOCOMYTE Private limited,"Anantapur,Andhra Pradesh",Food & Beverages
CLUBBOOM11 SPORTS &amp; ENTERTAINMENT PRIVATE LIMITED,"Rewa,Madhya Pradesh",Renewable Energy
ACCURITYS PRIVATE LIMITED,"Kolkata,West Bengal",IT Services
SNAP LINKS LLP,"Bengaluru,Karnataka",Food & Beverages
CREDFIRST FINANCE PRIVATE LIMITED,"Nashik,Maharashtra",Finance Technology
UNOTECH ENGINEERING LLP,",Delhi",
Rakesh Yannamani,"Tanuku,Andhra Pradesh",
V6 CONTROLS PRIVATE LIMITED,"Kanchipuram,Tamil Nadu",Professional & Commercial Services
Think Big Lifestyles,"Coimbatore,Tamil Nadu",Fashion
SOUL &amp; SOLVE FOOD AND BEVERAGES PRIVATE LIMITED,"Delhi,Delhi",Food & Beverages
ADMERE IMART PRIVATE LIMITED,"Dhanbad,Jharkhand",Media & Entertainment
INVENTIVE BUSINESS SYNERGIES PRIVATE LIMITED,"South Delhi,Delhi",Professional & Commercial Services
FinTech,"Pune,Maharashtra",Finance Technology
NEUROSINQ SOLUTIONS PRIVATE LIMITED,",Haryana",
Tails TEchnologies India,"Gandhinagar,Gujarat",IT Services
DTYHOLIDAYS LLP,"Faridabad,Haryana",Travel & Tourism
Auratral,"Bengaluru Urban,Karnataka",AI
Shreeguru FinKrafts,"North Goa,Goa",Social Impact
BOTTOM UP FREIGHT INDIA PRIVATE LIMITED,"Tiruvallur,Tamil Nadu",Logistics
HERALD TECHNOCRAFT PVT. LTD.,"Surat,Gujarat",Biotechnology
Timsi Pharma India Pvt Ltd,"Kamrup,Assam",Professional & Commercial Services
Udyog Technologies,"Lucknow,Uttar Pradesh",Healthcare & Lifesciences
HEALTH AND BEYOND FOODS PRIVATE LIMITED,"Mumbai,Maharashtra",Food & Beverages
WorkEaze,"Gorakhpur,Uttar Pradesh",Construction
Yashdeep Sahu,"Bengaluru Urban,Karnataka",
JAMMUNUTS,"Jammu,Jammu and Kashmir",Food & Beverages
Siddiqui Enterprises,"Seohara,Uttar Pradesh",Retail
ERVE BECONNECTED INDIA PRIVATE LIMITED,"Coimbatore,Tamil Nadu",Fashion
FreeNeer,"Gautam Buddha Nagar,Uttar Pradesh",Advertising
Mice Bugs Private Limited,"Mumbai,Maharashtra",Events
FASHIONISTA GLOBAL PRIVATE LIMITED,"Gurugram,Haryana",Textiles & Apparel
MAYANK TECHNOLOGIES PRIVATE LIMITED,"Allahabad,Uttar Pradesh",IT Services
ENISPECT UTC PRIVATE LIMITED,"Pune,Maharashtra",Renewable Energy
AYUKSHIT SOLUTIONS PRIVATE LIMITED,"Godda,Jharkhand",Human Resources
VIK AND RUD FASHIONS,"Bengaluru,Karnataka",Fashion
